iter	Passed	Remaining
0	31	6250
1	76	7552
2	98	6454
3	112	5499
4	174	6823
5	192	6219
6	224	6197
7	246	5910
8	291	6179
9	308	5865
10	342	5885
11	376	5898
12	400	5754
13	472	6277
14	510	6297
15	549	6321
16	575	6194
17	602	6092
18	635	6057
19	675	6079
20	704	6007
21	741	5997
22	763	5873
23	808	5927
24	827	5791
25	862	5774
26	909	5830
27	948	5825
28	999	5893
29	1028	5830
30	1059	5778
31	1104	5796
32	1153	5838
33	1178	5754
34	1225	5779
35	1272	5797
36	1321	5819
37	1363	5813
38	1421	5869
39	1487	5948
40	1547	6002
41	1587	5972
42	1634	5969
43	1692	5999
44	1728	5954
45	1772	5935
46	1819	5923
47	1891	5991
48	1927	5938
49	1974	5924
50	2060	6020
51	2106	5996
52	2139	5935
53	2187	5915
54	2236	5895
55	2289	5888
56	2343	5879
57	2388	5847
58	2436	5821
59	2483	5794
60	2558	5830
61	2601	5789
62	2663	5792
63	2708	5755
64	2747	5706
65	2789	5663
66	2828	5614
67	2868	5567
68	2901	5509
69	2940	5461
70	2983	5420
71	3049	5420
72	3102	5397
73	3134	5337
74	3169	5282
75	3213	5243
76	3255	5200
77	3300	5161
78	3350	5131
79	3399	5098
80	3439	5053
81	3477	5004
82	3555	5011
83	3619	4997
84	3648	4936
85	3692	4895
86	3744	4863
87	3788	4822
88	3848	4799
89	3890	4755
90	3939	4719
91	3985	4678
92	4032	4639
93	4092	4615
94	4133	4568
95	4183	4532
96	4222	4483
97	4268	4443
98	4315	4402
99	4357	4357
100	4409	4322
101	4434	4260
102	4465	4205
103	4520	4172
104	4646	4203
105	4673	4144
106	4733	4114
107	4780	4072
108	4813	4018
109	4845	3964
110	4896	3926
111	4938	3879
112	4995	3845
113	5044	3805
114	5105	3773
115	5167	3742
116	5185	3678
117	5228	3633
118	5270	3587
119	5321	3547
120	5357	3497
121	5403	3454
122	5450	3411
123	5503	3372
124	5543	3326
125	5588	3282
126	5630	3236
127	5706	3209
128	5757	3169
129	5793	3119
130	5840	3076
131	5874	3026
132	5920	2982
133	5966	2938
134	5999	2888
135	6052	2848
136	6098	2804
137	6153	2764
138	6213	2726
139	6257	2681
140	6307	2639
141	6351	2594
142	6386	2545
143	6431	2501
144	6473	2455
145	6518	2411
146	6572	2369
147	6613	2323
148	6678	2285
149	6752	2250
150	6788	2202
151	6838	2159
152	6886	2115
153	6916	2066
154	6963	2021
155	7002	1975
156	7040	1928
157	7088	1884
158	7134	1839
159	7200	1800
160	7254	1757
161	7304	1713
162	7352	1668
163	7381	1620
164	7430	1576
165	7479	1532
166	7521	1486
167	7558	1439
168	7587	1391
169	7624	1345
170	7648	1297
171	7683	1250
172	7751	1209
173	7779	1162
174	7815	1116
175	7831	1067
176	7859	1021
177	7881	974
178	7938	931
179	7964	884
180	8027	842
181	8082	799
182	8119	754
183	8161	709
184	8247	668
185	8325	626
186	8394	583
187	8423	537
188	8493	494
189	8528	448
190	8573	403
191	8601	358
192	8631	313
193	8670	268
194	8712	223
195	8795	179
196	8846	134
197	8875	89
198	8907	44
199	8957	0
