iter	Logloss
0	0.5810028223
1	0.4930156835
2	0.4265785999
3	0.378006337
4	0.3388825706
5	0.3083842373
6	0.2860040214
7	0.2688466979
8	0.2533975525
9	0.2404424919
10	0.2296237103
11	0.2203008763
12	0.2112566811
13	0.2046723405
14	0.1984441635
15	0.1940285037
16	0.1906078464
17	0.1873389785
18	0.1846603471
19	0.1827163253
20	0.1811871287
21	0.1792285429
22	0.1776685494
23	0.1763296997
24	0.1749385904
25	0.1742171198
26	0.1735331398
27	0.1723017524
28	0.1710684582
29	0.1698265492
30	0.1687776602
31	0.167891113
32	0.1670744145
33	0.1664666807
34	0.1659600404
35	0.1656053014
36	0.1650382924
37	0.1646733302
38	0.1642863403
39	0.1641226805
40	0.1638789437
41	0.1634221165
42	0.1630107071
43	0.1626292837
44	0.1623327983
45	0.1619806901
46	0.1617276362
47	0.1616354555
48	0.1611545279
49	0.1607577258
50	0.160644161
51	0.160443044
52	0.1602221757
53	0.1601178848
54	0.1599036832
55	0.1597790375
56	0.1595016028
57	0.1594381175
58	0.1592995801
59	0.1591885366
60	0.1590664919
61	0.1589501761
62	0.1587903649
63	0.1587295742
64	0.1585400076
65	0.1582987888
66	0.1582452762
67	0.1580849563
68	0.1580255044
69	0.1578636313
70	0.1577161372
71	0.1575968362
72	0.1574238403
73	0.157347476
74	0.156986791
75	0.1568757025
76	0.1568756951
77	0.156720249
78	0.1565958284
79	0.1564119343
80	0.1561884627
81	0.1560220235
82	0.1559573043
83	0.155821618
84	0.1557111259
85	0.1556901139
86	0.155601945
87	0.1553568001
88	0.1552802586
89	0.1551793571
90	0.1549406304
91	0.1546394203
92	0.154468863
93	0.1542095412
94	0.1540145479
95	0.1537559163
96	0.1536328447
97	0.1534037881
98	0.1533050687
99	0.1532870766
100	0.1530559212
101	0.1529880816
102	0.1528575966
103	0.1526365612
104	0.1525676202
105	0.1523748138
106	0.1521403421
107	0.1520981476
108	0.1517711174
109	0.1516390423
110	0.1515636837
111	0.1514331458
112	0.1514059501
113	0.15126579
114	0.1511785889
115	0.1511511216
116	0.151048658
117	0.1510316586
118	0.1508785475
119	0.1507530502
120	0.1506248778
121	0.1505167883
122	0.150461049
123	0.1504378342
124	0.1503948099
125	0.1502629688
126	0.1500880106
127	0.1500246289
128	0.1499463656
129	0.1498843226
130	0.1496228276
131	0.1494777966
132	0.1492921952
133	0.1490750129
134	0.1488437313
135	0.1486348055
136	0.1485029265
137	0.148369895
138	0.1482993537
139	0.1481826915
140	0.1481369155
141	0.1480394787
142	0.1479510881
143	0.1478075025
144	0.1477433861
145	0.1476227774
146	0.1475578178
147	0.1474725946
148	0.1474395347
149	0.1471834244
150	0.1471282498
151	0.1470774086
152	0.147077015
153	0.1469891197
154	0.1468600883
155	0.1468063056
156	0.1467564664
157	0.1466584247
158	0.1465357678
159	0.1464969548
160	0.1463288618
161	0.1460888468
162	0.1460044045
163	0.1457892898
164	0.1456546939
165	0.1455967497
166	0.1454756035
167	0.1453302826
168	0.1452653921
169	0.1450640354
170	0.1449544891
171	0.1448618898
172	0.1447987811
173	0.144747957
174	0.1446803521
175	0.1445295426
176	0.1444881476
177	0.1443464664
178	0.1442529188
179	0.1440319511
180	0.1437712716
181	0.1436875251
182	0.1436035091
183	0.1434567702
184	0.1433918527
185	0.1431652219
186	0.1429682508
187	0.1429130593
188	0.1428364971
189	0.142795267
190	0.1427865186
191	0.1425999288
192	0.1424823309
193	0.1424106215
194	0.1423590148
195	0.1422380693
196	0.1421065672
197	0.1420692085
198	0.1420452636
199	0.1419751965
