iter	Logloss
0	0.6569432372
1	0.6223502664
2	0.5921206024
3	0.5624812766
4	0.5363911349
5	0.512494471
6	0.4894722404
7	0.4691027955
8	0.4496572134
9	0.4309801668
10	0.4151451607
11	0.4005599633
12	0.3862497454
13	0.3735909944
14	0.3621730279
15	0.351668515
16	0.3418196315
17	0.3326971351
18	0.3237539026
19	0.3160258144
20	0.3087552105
21	0.3023246341
22	0.2944532327
23	0.2890250386
24	0.282769947
25	0.2764642443
26	0.270530974
27	0.2652507751
28	0.2604756228
29	0.2551910694
30	0.2513597411
31	0.2474897755
32	0.2427911878
33	0.2385518359
34	0.2344549459
35	0.2313268276
36	0.2278403389
37	0.2248660093
38	0.2216642364
39	0.2185559626
40	0.215434278
41	0.212724824
42	0.2101387503
43	0.2078679783
44	0.2055535924
45	0.2034990538
46	0.2015870951
47	0.199707208
48	0.1981956093
49	0.1967386968
50	0.1951546832
51	0.1937624257
52	0.192792112
53	0.1914679197
54	0.1904876553
55	0.189264956
56	0.1880771638
57	0.1869420621
58	0.1858899383
59	0.1848038655
60	0.1839025176
61	0.1829251788
62	0.1820359828
63	0.1813190794
64	0.1805915254
65	0.1798260315
66	0.1791531209
67	0.1785092988
68	0.1779405824
69	0.1775058908
70	0.1770223578
71	0.1765070735
72	0.176059655
73	0.1756307978
74	0.1751854993
75	0.1748051614
76	0.1743907761
77	0.1740604381
78	0.1737626025
79	0.1733945213
80	0.173100168
81	0.1728026746
82	0.1724141767
83	0.1720393336
84	0.171647889
85	0.1713610859
86	0.1709480885
87	0.1705712861
88	0.1701922369
89	0.1697561643
90	0.1693510517
91	0.1690035654
92	0.1686317697
93	0.1682477999
94	0.1679649966
95	0.1677116378
96	0.1673928171
97	0.1670699006
98	0.166918705
99	0.1666963075
100	0.1664995993
101	0.1663338852
102	0.1661311061
103	0.1659397222
104	0.1656853857
105	0.1654140379
106	0.16523802
107	0.1649935217
108	0.1647846633
109	0.1646010255
110	0.1644646041
111	0.164223263
112	0.1640756547
113	0.1639375221
114	0.1638559643
115	0.1637003977
116	0.1635616673
117	0.1634071599
118	0.1632862793
119	0.1631396868
120	0.1629806329
121	0.1627723141
122	0.1626217273
123	0.1624143236
124	0.1622198404
125	0.1620211773
126	0.1618804041
127	0.1617935363
128	0.1616918457
129	0.1615359649
130	0.1614891074
131	0.1614281689
132	0.1613462799
133	0.1612505744
134	0.1611338913
135	0.1609994821
136	0.1609281982
137	0.1608469412
138	0.1607868003
139	0.1607532704
140	0.160647181
141	0.1605220244
142	0.1604356614
143	0.1603733585
144	0.160264786
145	0.1601130712
146	0.1599885473
147	0.1598568529
148	0.1597668191
149	0.1596583518
150	0.1595258185
151	0.1594464511
152	0.1592628666
153	0.1591908688
154	0.1590335316
155	0.1589459717
156	0.1588185749
157	0.1587012677
158	0.1586609691
159	0.1585505668
160	0.1585171819
161	0.1584608751
162	0.1583051185
163	0.1581738999
164	0.15812906
165	0.1580765894
166	0.1580310674
167	0.1579432886
168	0.1578878171
169	0.1577223956
170	0.1576690647
171	0.1575435744
172	0.1574896229
173	0.1574112136
174	0.1573345546
175	0.1572922964
176	0.1572047834
177	0.1571571978
178	0.1570759895
179	0.1569513309
180	0.156902436
181	0.1568337334
182	0.156772319
183	0.1567255161
184	0.1566265522
185	0.1565757619
186	0.1564974383
187	0.156467235
188	0.1564313681
189	0.1563007751
190	0.1563007723
191	0.1562667724
192	0.1562431402
193	0.1561573031
194	0.1561079527
195	0.1560879928
196	0.1559954647
197	0.1559322024
198	0.1558721173
199	0.15584752
