iter	Passed	Remaining
0	24	12463
1	32	8085
2	39	6559
3	45	5607
4	49	4946
5	54	4523
6	59	4198
7	64	3977
8	71	3883
9	77	3791
10	82	3683
11	88	3615
12	93	3486
13	98	3412
14	103	3347
15	108	3279
16	113	3228
17	120	3233
18	127	3237
19	133	3209
20	139	3174
21	143	3125
22	149	3092
23	154	3059
24	159	3025
25	164	2995
26	168	2949
27	174	2944
28	178	2901
29	182	2865
30	187	2838
31	193	2823
32	198	2811
33	203	2784
34	207	2754
35	214	2764
36	222	2782
37	227	2771
38	233	2764
39	238	2742
40	244	2739
41	251	2742
42	257	2734
43	263	2729
44	268	2710
45	274	2708
46	281	2711
47	285	2691
48	291	2680
49	297	2678
50	302	2661
51	308	2655
52	312	2635
53	321	2658
54	326	2642
55	332	2634
56	342	2659
57	349	2659
58	354	2650
59	362	2661
60	368	2650
61	374	2642
62	380	2641
63	386	2629
64	391	2618
65	395	2601
66	403	2608
67	409	2601
68	417	2608
69	423	2603
70	429	2593
71	433	2579
72	442	2590
73	451	2601
74	458	2598
75	464	2592
76	471	2587
77	477	2583
78	481	2566
79	487	2559
80	496	2569
81	503	2566
82	507	2549
83	514	2548
84	520	2540
85	524	2525
86	531	2524
87	536	2510
88	545	2519
89	549	2504
90	553	2488
91	557	2474
92	565	2473
93	569	2461
94	576	2457
95	584	2461
96	591	2459
97	598	2455
98	602	2439
99	606	2427
100	614	2426
101	620	2422
102	626	2413
103	633	2410
104	642	2418
105	646	2403
106	652	2396
107	660	2396
108	667	2395
109	675	2393
110	681	2389
111	685	2374
112	694	2378
113	703	2380
114	711	2383
115	718	2380
116	727	2381
117	732	2370
118	742	2376
119	747	2367
120	753	2360
121	761	2358
122	766	2347
123	773	2344
124	782	2346
125	787	2338
126	792	2327
127	800	2325
128	805	2317
129	814	2318
130	821	2314
131	829	2313
132	837	2311
133	844	2307
134	852	2305
135	857	2293
136	860	2280
137	870	2283
138	877	2279
139	882	2268
140	885	2255
141	891	2247
142	898	2242
143	906	2241
144	919	2252
145	934	2265
146	941	2260
147	951	2262
148	961	2263
149	966	2255
150	978	2262
151	990	2266
152	996	2260
153	1006	2261
154	1014	2257
155	1021	2253
156	1031	2254
157	1040	2252
158	1047	2246
159	1053	2239
160	1061	2234
161	1072	2237
162	1078	2230
163	1087	2228
164	1095	2224
165	1100	2214
166	1105	2205
167	1114	2202
168	1120	2193
169	1125	2185
170	1131	2177
171	1138	2171
172	1149	2173
173	1153	2161
174	1159	2152
175	1164	2143
176	1169	2133
177	1173	2122
178	1182	2120
179	1187	2110
180	1190	2098
181	1200	2096
182	1205	2088
183	1219	2094
184	1240	2111
185	1252	2115
186	1263	2114
187	1270	2108
188	1278	2104
189	1289	2103
190	1296	2097
191	1304	2092
192	1311	2086
193	1318	2079
194	1324	2070
195	1332	2067
196	1338	2058
197	1348	2056
198	1354	2048
199	1368	2053
200	1375	2046
201	1384	2042
202	1397	2044
203	1409	2045
204	1425	2050
205	1433	2045
206	1439	2037
207	1449	2035
208	1458	2031
209	1467	2026
210	1479	2025
211	1485	2017
212	1493	2012
213	1510	2019
214	1518	2013
215	1527	2008
216	1542	2012
217	1549	2005
218	1558	1999
219	1564	1991
220	1573	1986
221	1580	1978
222	1588	1973
223	1604	1976
224	1616	1975
225	1630	1976
226	1643	1976
227	1657	1977
228	1662	1967
229	1667	1957
230	1675	1951
231	1689	1951
232	1694	1941
233	1702	1934
234	1711	1929
235	1718	1922
236	1725	1915
237	1731	1905
238	1736	1896
