iter	Logloss
0	0.6853769291
1	0.6777916067
2	0.6703364875
3	0.6630118229
4	0.6558376258
5	0.6487971724
6	0.6418964787
7	0.6351274809
8	0.6284846333
9	0.6219623973
10	0.615576605
11	0.6092965735
12	0.6031353276
13	0.5970655597
14	0.5911094336
15	0.5852532664
16	0.5795284931
17	0.5738989277
18	0.568351439
19	0.5629044365
20	0.5575577877
21	0.5522976362
22	0.5471446086
23	0.5420775132
24	0.5370976533
25	0.5322028117
26	0.5273869324
27	0.5226640783
28	0.5180093665
29	0.5134311734
30	0.5089365336
31	0.5045190767
32	0.5001773762
33	0.4959048863
34	0.4916795303
35	0.4875414191
36	0.4834522071
37	0.4794498729
38	0.4754991949
39	0.4716304362
40	0.4678111596
41	0.4640383239
42	0.4603494144
43	0.4567214729
44	0.4531501834
45	0.4496348103
46	0.4461744925
47	0.4427369474
48	0.4393746536
49	0.4360771655
50	0.4328346766
51	0.4296253886
52	0.4264501119
53	0.4233423103
54	0.4202833486
55	0.4172676542
56	0.4143049667
57	0.4113946886
58	0.4085242484
59	0.4057012683
60	0.4029224977
61	0.4001781424
62	0.3974839771
63	0.3948118807
64	0.3921979832
65	0.3896311586
66	0.3870946753
67	0.3845648743
68	0.3820921789
69	0.3796482285
70	0.3772431651
71	0.3748837167
72	0.3725479666
73	0.3702485456
74	0.3679999887
75	0.365787253
76	0.3636078837
77	0.3614447253
78	0.3593262308
79	0.3572151315
80	0.355162135
81	0.3531365767
82	0.3511096647
83	0.3491100723
84	0.3471401391
85	0.3452333973
86	0.343354833
87	0.3415040056
88	0.3396699332
89	0.3378732054
90	0.3360946308
91	0.3343513138
92	0.3326327252
93	0.3309357878
94	0.3292672106
95	0.327562226
96	0.3259152103
97	0.324318724
98	0.3227282843
99	0.3211781738
