iter	Passed	Remaining
0	19	1975
1	31	1524
2	36	1196
3	46	1119
4	71	1364
5	90	1411
6	101	1343
7	107	1239
8	113	1147
9	118	1070
10	130	1059
11	148	1089
12	155	1043
13	165	1019
14	175	994
15	183	962
16	191	936
17	209	955
18	221	945
19	230	921
20	238	898
21	245	871
22	256	858
23	278	882
24	290	871
25	299	853
26	307	830
27	313	805
28	318	780
29	339	791
30	351	782
31	362	769
32	369	750
33	379	736
34	393	730
35	413	735
36	425	723
37	433	707
38	444	694
39	450	675
40	460	663
41	480	662
42	501	665
43	512	652
44	522	638
45	528	620
46	536	605
47	544	589
48	556	578
49	569	569
50	579	556
51	589	544
52	595	528
53	602	512
54	615	503
55	634	498
56	644	486
57	654	473
58	662	460
59	670	447
60	681	435
61	701	430
62	712	418
63	722	406
64	731	394
65	740	381
66	746	367
67	764	359
68	776	348
69	785	336
70	792	323
71	800	311
72	807	298
73	814	286
74	830	276
75	841	265
76	850	254
77	857	241
78	865	230
79	871	217
80	886	207
81	899	197
82	910	186
83	920	175
84	926	163
85	933	151
86	950	142
87	962	131
88	972	120
89	980	108
90	987	97
91	992	86
92	1008	75
93	1024	65
94	1035	54
95	1046	43
96	1053	32
97	1061	21
98	1066	10
99	1073	0
